"estado","cidade","lat","lon"
AM,Feijoal (Benjamin Constant),-4.5204349,-69.9550338
AM,Floriano Peixoto (Boca do Acre),-8.7516632,-67.3985312
AM,Fonte Boa,-2.7521845000000003,-63.063504699999996
AM,Freguesia do Andirá (Barreirinha),-3.0793652,-57.1915504
AM,Guajará,-7.3687219,-72.6926524
AM,Humaitá,-14.906399519999999,-60.806379099999994
AM,Iauaretê (São Gabriel da Cachoeira),-1.26091235,-64.08269955
AM,Ipixuna,-7.132857899999999,-71.53821275
AM,Iranduba,-8.1529573,-56.064472525
AM,Itacoatiara,-4.075966488172042,-57.91833857849464
AM,Itamarati,-6.590161999999999,-68.09783250000001
AM,Itapeaçu (Urucurituba),-3.1297269,-58.1538868
AM,Itapiranga,-18.928442899999997,-55.35677963333333
AM,Içanã (São Gabriel da Cachoeira),0.5582388,-68.1431414
AM,Japurá,-14.833599800000002,-58.31860054
AM,Juruá,-3.52906645,-66.2463317
AM,Jutaí,-3.5741229,-67.64785175
AM,Lago Preto (Boa Vista do Ramos),-3.0621541,-57.6892483
AM,Lago do Limão (Iranduba),-3.1456879,-60.257396
AM,Limoeiro (Japurá),-1.8827204,-66.9295891
AM,Lábrea,-7.26576625,-64.79549635000001
AM,Manacapuru,-3.901958024369748,-59.94592319663863
AM,Manaquiri,-3.6715891000000003,-60.65954175
AM,Manaus,-4.623674778272397,-57.69827516061059
AM,Manicoré,-4.6141023,-63.5773422
AM,Maraã,-2.0823684499999997,-65.29333034999999
AM,Massauari (Boa Vista do Ramos),-3.0621541,-57.6892483
AM,Maués,-4.3508679,-57.9547997
AM,Mocambo (Parintins),-13.0911416,-51.6830104
AM,Moura (Barcelos),-0.2674076,-63.2032151
AM,Murituba (Codajás),-3.8398302,-62.0610928
AM,Murutinga (Autazes),-3.7225517,-59.5642369
AM,Nhamundá,-2.06392355,-57.0884098
AM,Nova Olinda do Norte,-3.93099115,-58.8726294
AM,Novo Airão,-2.6300520499999998,-60.94381215
AM,Novo Aripuanã,-4.859411,-62.9410056
AM,Novo Céu (Autazes),-3.7225517,-59.5642369
AM,Novo Remanso (Itacoatiara),-3.2000444,-59.2922855
AM,Osório da Fonseca (Maués),-5.3064879,-58.1892921
AM,Palmeiras (Tabatinga),-4.2316306,-69.936928
AM,Paricatuba (Iranduba),-3.1456879,-60.257396
AM,Parintins,-2.9679901791443837,-57.090010905882345
AM,Pauini,-14.004176000000001,-59.3021344
AM,Pedras (Barreirinha),-2.93622955,-57.12898885
AM,Platô do Piquiá (Boca do Acre),-8.7516632,-67.3985312
AM,Presidente Figueiredo,-2.1663347,-60.031693499999996
AM,Purupuru (Careiro),-3.8194584,-60.3612267
AM,Repartimento (Maués),-5.3064879,-58.1892921
AM,Repartimento de Tuiué (Manacapuru),-3.2897192,-60.6319066
AM,Rio Preto da Eva,-2.69809145,-59.7002365
AM,Santa Isabel do Rio Negro,-0.3423002,-65.2476848
AM,Santa Rita (São Paulo de Olivença),-3.6499007,-69.097023
AM,Santana (São Sebastião do Uatumã),-1.9722197,-58.9206295
AM,Santo Antônio do Içá,-3.07402655,-68.5206565
AM,Santo Antônio do Matupi (Manicoré),-5.8116004,-61.2915104
AM,Silves,-2.8424891,-58.33665605
AM,São Felipe (São Gabriel da Cachoeira),0.5582388,-68.1431414
AM,São Gabriel da Cachoeira,-11.178200449999999,-55.668940500000005
AM,São Paulo de Olivença,-3.4101143,-66.03959473333333
AM,São Sebastião do Uatumã,-2.27043785,-58.397354899999996
AM,Tapauá,-4.37027315,-61.5915689
AM,Tefé,-5.305734759360731,-62.250886915525136
AM,Terra Nova (Careiro),-3.8194584,-60.3612267
AM,Tonantins,-2.9654974,-63.83723125
AM,Uarini,-2.9840524999999998,-65.15814929999999
AM,Urucará,-2.5346843,-57.752581199999995
AM,Urucurituba,-3.1284199666666663,-58.15600153333333
AM,Vila Amazônia (Parintins),-2.6377821,-56.7295415
AM,Vila Bittencourt (Japurá),-1.8827204,-66.9295891
AM,Vila Lindóia (Itacoatiara),-3.3339824,-58.5543821
AM,Vila Pitinga (Presidente Figueiredo),-1.4520011,-60.0259466
AM,Vila Rica de Caviana (Manacapuru),-3.2897192,-60.6319066
AM,Vila Zé Açu (Parintins),-2.6377821,-56.7295415
AM,Vila de Campinas (Manacapuru),-3.2897192,-60.6319066
AM,Vila de Sacambu (Manacapuru),-3.2897192,-60.6319066
AM,Vila do Lago do Jacaré (Manacapuru),-3.2897192,-60.6319066
AP,Abacate da Pedreira (Macapá),0.0355735,-51.070535
AP,Amapá,0.4588471,-51.533368
AP,Ambé (Macapá),0.18249669999999998,-51.01975745
AP,Aporema (Tartarugalzinho),1.5048944,-50.9118267
AP,Ariri (Macapá),0.0355735,-51.070535
AP,Bailique (Macapá),0.038404,-51.0697403
AP,Boca do Jari (Laranjal do Jari),1.0943041,-53.2180495
AP,Calçoene,2.497678366666667,-51.272694
AP,Cantanzal (Macapá),0.0355735,-51.070535
AP,Carmo (Macapá),0.0355735,-51.070535
AP,Clevelândia do Norte (Oiapoque),3.844121,-51.8322277
AP,Corre Água (Macapá),0.0355735,-51.070535
AP,Cunani (Calçoene),2.3002285,-51.5150077
AP,Curiaú (Macapá),0.0355735,-51.070535
AP,Cutias,0.9971033499999999,-50.5951936
AP,Ferreira Gomes,0.8527611,-51.182228949999995
AP,Fortaleza (Santana),0.0728284,-51.4421328
AP,Gaivota (Macapá),0.0355735,-51.070535
AP,Gurupora (Macapá),0.0355735,-51.070535
AP,Igarapé do Lago (Santana),0.07599125000000001,-51.4431065
AP,Ilha de Santana (Santana),0.07030320000000001,-51.3057884
AP,Inajá (Macapá),0.0355735,-51.070535
AP,Itaubal,0.7278388499999999,-51.3619277
AP,Laranjal do Jari,0.12245719999999999,-52.87439825
AP,Livramento do Pacuí (Macapá),0.0355735,-51.070535
AP,Lourenço (Calçoene),-10.1231297,-47.586398
AP,Macapá,-0.9328870086845458,-50.08081374022983
AP,Mazagão,-0.150076575,-51.333117675
AP,Mazagão Velho (Mazagão),-0.115827,-51.2862467
AP,Oiapoque,3.84476795,-51.833834749999994
AP,Paredão (Ferreira Gomes),0.8569136,-51.1799664
AP,Pedra Branca do Amaparí,0.77733085,-51.95161695
AP,Porto Grande,0.7102313499999999,-51.41110725
AP,Pracuúba,1.74326515,-50.7840793
AP,Santa Luzia do Pacuí (Macapá),0.0355735,-51.070535
AP,Santa Maria (Macapá),0.0355735,-51.070535
AP,Serra do Navio,-1.5875385499999999,-45.0065422
AP,Sucuriju (Amapá),0.9019925,-52.0029565
AP,São Joaquim do Pacuí (Macapá),0.0355735,-51.070535
AP,São Sebastião do Livramento (Macapá),0.0355735,-51.070535
AP,São Tomé (Macapá),0.0355735,-51.070535
AP,Tartarugalzinho,1.5033926,-50.91217055
AP,Vila Velha (Oiapoque),3.844121,-51.8322277
AP,Vitória do Jari,-0.9742624,-52.262855099999996
BA,Abadia (Jandaíra),-11.5955752,-37.5960704
BA,Abaré,-8.845713033333334,-39.2835135
BA,Abaíra,-13.2651772,-41.702714150000006
BA,Abelhas (Vitória da Conquista),-14.8619237,-40.8445346
BA,Abobora (Juazeiro),-10.03828845,-40.1227756
BA,Abrantes (Camaçari),-12.70356445,-38.33785615
BA,Abóbora (Juazeiro),-9.64635625,-40.3948198
BA,Acajutiba,-17.58441295,-42.3158684
BA,Acupe (Santo Amaro),-12.5495944,-38.7075757
BA,Adro de São Gonçalo (Itiúba),-12.73449415,-39.557959
BA,Adustina,-10.5468495,-38.0697056
BA,Afligidos (São Gonçalo dos Campos),-12.5073732,-40.32576945
BA,Afrânio Peixoto (Lençóis),-12.531302199999999,-41.3407964
BA,Aiquara,-14.1136297,-39.88453255
BA,Alagoinhas,-12.274527400563377,-38.522313819436626
BA,Alcobaça,-17.379049,-39.592086466666665
BA,Alegre (Condeúba),-14.97396775,-42.1360865
BA,Algodão (Ibirataia),-14.009618750000001,-39.656179949999995
BA,Algodões (Quijingue),-10.7704468,-39.1127352
BA,Almadina,-14.7083051,-39.6724573
BA,Alto Bonito (Mundo Novo),14.794008499999999,-24.3817645
BA,Amado Bahia (Mata de São João),-12.53140355,-38.2979621
BA,Amaniú (Sento Sé),-9.7417977,-41.8789341
BA,Amargosa,-13.0297281,-39.6034394
BA,Amélia Rodrigues,-12.3984776,-38.75629385
BA,América Dourada,-11.45411835,-41.43675265
BA,Américo Alves (Sento Sé),-9.7417977,-41.8789341
BA,Anagé,-14.61383155,-41.137501
BA,Andaraí,-12.8072835,-41.330853149999996
BA,Andorinha,-16.6009888,-41.5199133
BA,Angical,-12.022260633333332,-44.594652499999995
BA,Angico (Mairi),-11.6884884,-40.23814695
BA,Anguera,-12.15584795,-39.24244229999999
BA,Antarí (Barra do Mendes),-12.0552868,-42.07281305
BA,Antas,-11.170118116666666,-38.302460583333335
BA,Antônio Cardoso,-12.410125050000001,-39.1268759
BA,Antônio Gonçalves,-10.573984766666667,-40.26473776666666
BA,Aporá,-11.65960055,-38.0814267
BA,Apuarema,-13.204188850000001,-40.72268630000001
BA,Aracatu,-16.004386300000004,-44.829638266666656
BA,Araci,-11.045627266666665,-39.370583333333336
BA,Aramari,-13.973867966666667,-38.99983233333333
BA,Arapiranga (Rio de Contas),-13.534911000000001,-41.789974799999996
BA,Arataca,-15.2397385,-39.41884545
BA,Aratuípe,-13.07819915,-39.00103245
BA,Araçás,-14.320032959999997,-39.7687077
BA,Areia Branca (Jussari),-14.96979185,-39.391926
BA,Areias (Camaçari),-12.6971776,-38.3331983
BA,Arembepe (Camaçari),-12.7359838,-38.25634435
BA,Argoim (Rafael Jambeiro),-12.4057299,-39.501142
BA,Argolo (Nova Viçosa),-17.9008722,-39.3716445
BA,Aribice (Euclides da Cunha),-10.5298587,-38.905562
BA,Aritaguá (Ilhéus),-14.7935051,-39.0463797
BA,Arraial DAjuda (Porto Seguro),-16.468119950000002,-39.07052535
BA,Aurelino Leal,-14.310328949999999,-42.50777585
BA,Açu da Torre (Mata de São João),-12.531051300000001,-38.299413099999995
BA,Açudina (Santa Maria da Vitória),-13.21715855,-44.413568299999994
BA,Baianópolis,-12.30457415,-44.5373603
BA,Baixa Grande,-11.98187695,-40.174849449999996
BA,Baixa do Palmeira (Sapeaçu),-12.7081418,-39.2167652
BA,Baixinha (Ubaíra),-13.2689223,-39.6589305
BA,Baixão (Jequié),-13.85701795,-40.072967399999996
BA,Baluarte (Pilão Arcado),-10.0055868,-42.4940104
BA,Bananeiras (Pindobaçu),-10.37297615,-41.425090499999996
BA,Banco Central (Ilhéus),-14.7935051,-39.0463797
BA,Bandeira do Almada (Itajuípe),-14.67193615,-39.4345461
BA,Bandeira do Colônia (Itapetinga),-15.2495081,-40.24490275
BA,Bandiaçu (Conceição do Coité),-12.0687028,-40.489914150000004
BA,Banzaê,-10.5820598,-38.612551800000006
BA,Baraúnas (Seabra),-12.416142399999998,-41.771384350000005
BA,Barcelos do Sul (Camamu),-13.9938881,-39.05671705
BA,Barra,-11.0902888,-43.141846900000004
BA,Barra Avenida (Jequié),-13.949744500000001,-39.99591035
BA,Barra Grande (Vera Cruz),-12.9931032,-38.6612322
BA,Barra da Estiva,-13.6042077,-41.28427185
BA,Barra do Choça,-14.867324199999999,-40.57767116666667
BA,Barra do Jacuípe (Camaçari),-12.6971776,-38.3331983
BA,Barra do Mendes,-11.878610949999999,-42.08899425
BA,Barra do Pojuca (Camaçari),-12.6971776,-38.3331983
BA,Barra do Rocha,-13.7990321,-40.12718875
BA,Barra do Tarrachil (Chorrochó),-8.90126605,-39.040932049999995
BA,Barracas (Ponto Novo),-10.9118615,-40.1043057
BA,Barreiras,-12.392830502631574,-43.526314952631495
BA,Barreiros (Riachão do Jacuípe),-11.8078089,-39.38285705
BA,Barro Alto,-14.768670900000002,-44.38903183333333
BA,Barro Preto,-13.675061750000001,-40.55733875
BA,Barro Vermelho (Curaçá),-13.77565955,-43.825940450000004
BA,Barrocas,-11.53112985,-39.085598
BA,Barrocão (Ribeira do Pombal),-12.535759299999999,-45.2346023
BA,Barrolândia (Belmonte),-15.8612433,-38.879799
BA,Bastião (Boninal),-12.7346125,-41.8004409
BA,Bate Pé (Vitória da Conquista),-14.8619237,-40.8445346
BA,Batinga (Itanhém),-17.034994949999998,-40.389783699999995
BA,Bela Flor (Catu),-12.37027445,-38.387289949999996
BA,Bela Vista (Sátiro Dias),-12.68230915,-39.1472181
BA,Belmonte,-21.351003575,-46.228145025
BA,Belo Campo,-15.036496450000001,-41.2624901
BA,Belo Campo (América Dourada),-11.41107855,-41.51706625
BA,Belém da Cachoeira (Cachoeira),-12.66788965,-38.864640800000004
BA,Bem-Bom (Casa Nova),-9.175925,-40.9739521
BA,Bendegó (Canudos),-10.0209916,-39.11685015
BA,Bento Simões (Irará),-12.043355,-38.76540795
BA,Biritinga,-11.62221915,-38.8074035
BA,Boa Espera (Santanópolis),-12.02558375,-38.8656141
BA,Boa Nova,-14.39181,-40.1569256
BA,Boa União (Alagoinhas),-12.56586335,-38.473852449999995
BA,Boa Vista do Lagamar (Ibotirama),-11.8949874,-43.26229705
BA,Boa Vista do Tupim,-12.6957208,-40.66563454
BA,Boaçu (Jequié),-13.86533795,-40.0632156
BA,Boca do Córrego (Belmonte),-15.8612433,-38.879799
BA,Bom Jesus da Lapa,-13.463066249999999,-42.15754006666666
BA,Bom Jesus da Serra,-14.380246,-40.549872300000004
BA,Bom Sossego (Oliveira dos Brejinhos),-12.2676752,-42.84127945
BA,Bonfim da Feira (Feira de Santana),-12.2641,-39.08419195
BA,Boninal,-12.7222524,-41.814998149999994
BA,Bonito,-12.241985875,-44.4128763
BA,Boquira,-12.699271366666666,-41.1554865
BA,Botuporã,-13.3525996,-42.518627800000004
BA,Botuquara (Riacho de Santana),12.569334699999999,-26.08353425
BA,Brejinho das Ametistas (Caetité),-14.0648657,-42.4858867
BA,Brejo Luíza de Brito (Novo Horizonte),-12.836864949999999,-42.0768902
BA,Brejo Novo (Boa Vista do Tupim),-12.6595924,-40.6050834
BA,Brejo da Serra (Pilão Arcado),-10.0055868,-42.4940104
BA,Brejolândia,-12.4758763,-43.8376555
BA,Brejões,-14.9597981,-40.52624453333333
